OBJ_Critical= 0.5 0.1
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.293	0.9	0.4	0.29	0.51268764	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012214	0.00219711	0.33291542	0.68893442	0.16178549	0.0932217	0.01218105	0.01156378	0.30591072	0.00137166	2	16.23450211	0.0436563	0.16871196	0.37608587	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51279396	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012053	0.00220826	0.33444466	0.68723186	0.15526603	0.09283356	0.01212996	0.01155902	0.30285862	0.00137461	2	16.1600449	0.04360038	0.16684022	0.37588964	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51278074	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012375	0.00218383	0.3316375	0.69039615	0.1698386	0.09338558	0.01222516	0.01162382	0.30757639	0.00137237	2	16.24538483	0.04368816	0.17100923	0.37673425	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51272881	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.000122	0.0021898	0.33455063	0.68768201	0.16293275	0.09275099	0.01220194	0.01169791	0.30333659	0.00139866	2	16.21639244	0.04365358	0.16988219	0.37654766	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51269869	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012187	0.00219555	0.33432847	0.68763761	0.16232122	0.09286916	0.01217939	0.01162943	0.30408079	0.00138794	2	16.19887657	0.04364744	0.16899301	0.37632572	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51272303	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012275	0.00219208	0.33509852	0.68661008	0.16601426	0.09325297	0.01218785	0.01163943	0.30510717	0.00138782	2	16.20452737	0.04367334	0.17011459	0.37698986	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51265	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012151	0.00219573	0.33703637	0.6844933	0.16197869	0.09263942	0.01217	0.01169847	0.30197943	0.00140795	2	16.16685696	0.04364257	0.169376	0.37685597	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51281191	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012281	0.0021845	0.33307438	0.68912577	0.16547805	0.09301373	0.01222626	0.01171544	0.30447419	0.00138786	2	16.23926111	0.04365798	0.17105162	0.37685301	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51269961	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.0001226	0.00218639	0.33487618	0.68698779	0.16614038	0.09290851	0.01220892	0.0117056	0.30416074	0.00139759	2	16.21020023	0.04366737	0.17076424	0.37696174	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51267265	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012196	0.00219545	0.3336719	0.68834194	0.16196561	0.09295793	0.01218673	0.01161725	0.30449354	0.00138303	2	16.21715377	0.04364865	0.16911257	0.37623321	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51277595	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012315	0.00217465	0.33201333	0.69057996	0.1656342	0.09294263	0.01227142	0.0117947	0.30440937	0.001394	2	16.29539018	0.04366906	0.17253212	0.37684969	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
