OBJ_Critical= 0.5 0.1
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.255	0.9	0.4	0.29	0.50547908	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010163	0.0010375	0.28805705	0.77822858	0.99678451	0.09228217	0.03444007	0.0046153	0.46863835	0.00152159	2	5.40592193	0.03985217	0.01451687	0.33386812	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50209184	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010171	0.00104233	0.29258629	0.79543326	0.99626991	0.09240711	0.03459664	0.0045822	0.47042481	0.00150921	2	5.3915487	0.0403031	0.01389757	0.32668424	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50139379	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.0001017	0.00104173	0.29108961	0.80065696	0.99622199	0.09178886	0.03470737	0.00448381	0.47298542	0.00150928	2	5.36936954	0.0406462	0.01325907	0.33061265	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50261132	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010167	0.00104085	0.28819113	0.80460985	0.99698399	0.09447767	0.03458603	0.00466907	0.47301462	0.00149769	2	5.40293265	0.04051243	0.01301787	0.32502141	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50233234	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010172	0.00104334	0.29300422	0.79359158	0.996063	0.0930489	0.03460956	0.00460836	0.47029168	0.00151132	2	5.38162066	0.04016314	0.01399216	0.32222358	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.256	0.9	0.4	0.29	0.50888519	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010159	0.00103482	0.28473946	0.76064131	0.99698247	0.0927582	0.03431725	0.00468029	0.46675485	0.00153304	2	5.40140023	0.03913165	0.0152192	0.33580771	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.256	0.9	0.4	0.29	0.50944753	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010174	0.00103604	0.28340596	0.76682873	0.99738408	0.09498885	0.03434937	0.00467762	0.47011891	0.00152983	2	5.33912573	0.03873189	0.01448406	0.33999646	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.256	0.9	0.4	0.29	0.50748577	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010168	0.00103876	0.28595071	0.77774444	0.99686256	0.09638807	0.03435239	0.00477024	0.46900204	0.00152831	2	5.38695985	0.04001816	0.01420585	0.32465879	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.256	0.9	0.4	0.29	0.50952338	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010169	0.00103531	0.27969689	0.76454702	0.99680437	0.0952116	0.03434385	0.0046627	0.47071797	0.00152407	2	5.3060342	0.03926694	0.01403201	0.34322202	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.256	0.9	0.4	0.29	0.50898191	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010154	0.00103526	0.28561268	0.75803562	0.99619119	0.09199648	0.03426023	0.00477952	0.46408394	0.00152415	2	5.39301947	0.03909941	0.01564423	0.32526486	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.257	0.9	0.4	0.29	0.50960688	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010142	0.00103092	0.29020465	0.74057127	0.99743076	0.09040503	0.0338731	0.00495376	0.45582747	0.00153523	2	5.58623193	0.03883732	0.01730126	0.32731216	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.257	0.9	0.4	0.29	0.50923179	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010137	0.00103243	0.28648474	0.74185045	0.99678188	0.09085942	0.03401878	0.00491206	0.45985832	0.00153948	2	5.52873128	0.0388993	0.01634862	0.31440937	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.258	0.9	0.4	0.29	0.51015341	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010141	0.00103345	0.27229524	0.75778629	0.99797092	0.09017355	0.03421531	0.00497693	0.46846283	0.00152023	2	5.42416176	0.03824521	0.01462365	0.30124114	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.258	0.9	0.4	0.29	0.50802262	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010164	0.00103098	0.32667611	0.70639432	0.99703627	0.0812363	0.03307505	0.00525236	0.42474749	0.00150699	2	5.83929868	0.03933254	0.02470443	0.35432319	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.259	0.9	0.4	0.29	0.50707293	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010147	0.00102692	0.31377974	0.69065431	0.99842085	0.08116491	0.03345055	0.00511556	0.43175159	0.0015652	2	5.85546629	0.03871656	0.02411475	0.32090168	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.259	0.9	0.4	0.29	0.49118249	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010004	0.00130748	0.25932587	0.83906161	0.20956919	0.05442491	0.0285964	0.00960319	0.24456078	0.00100204	2	9.44119778	0.02305397	0.14460119	0.11309833	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
